case_id,repeat,routing,k,stage,category,rss_kb,profile_kb,delta_kb,share_pct,detail,pid,start_rss_kb,final_rss_kb,start_profile_kb,final_profile_kb,profiler,total_delta_kb,positive_delta_kb,samples
fattree_k32_NodeBfs_r1,1,NodeBfs,32,config_json,input_config,16136,656,16,0.0,"bytes=637,templates=3",571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_helper_setup,helper_objects,16136,657,1,0.0,routing=NodeBfs,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,template_build,topology_templates,16136,657,0,0.0,templates=3,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,topology_seed,topology_objects,16136,673,16,0.0,"levels=1,nodes=1",571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,topology_build,topology_objects,455244,438267,437594,2.41,builder.Build,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,address_registration,address_directory,459844,442108,3841,0.02,RegisterAddresses,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_next_hop_map,node_bfs_routing,10936588,10918223,10476115,57.67,records=201326592,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_routing_table,node_bfs_routing,18144580,18126888,7208665,39.68,entries=201326592,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_state,node_bfs_routing,18144580,18126890,2,0.0,entries=201326592,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,traffic_grouped_ring_allreduce,traffic_objects,18148768,18126891,1,0.0,"hosts=8192,flows=114688,group_size=8,placement=strided",571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,applications,traffic_objects,18187576,18166183,39292,0.22,"hosts=8192,flows=114688,replay=batch",571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,initialization_ready,process,18188224,18166183,0,0.0,before_simulator_run,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
