case_id,repeat,routing,k,stage,category,duration_s,share_pct,accounted,detail,total_s,accounted_s,other_s,samples
fattree_k32_NodeBfs_r1,1,NodeBfs,32,config_json,input_config,0.000043,0.00,yes,"bytes=637,templates=3",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_helper_setup,helper_objects,0.000045,0.00,yes,routing=NodeBfs,294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,template_build,topology_templates,0.000032,0.00,yes,templates=3,294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,topology_build,topology_objects,1.488641,0.51,yes,builder.Build,294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,address_registration,address_directory,0.016506,0.01,yes,RegisterAddresses,294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_calculate_routes,node_bfs_detail,234.446603,79.60,no,"routing=NodeBfs,next_hop_records=201326592",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_set_routing_entries,node_bfs_detail,45.281541,15.37,no,"routing=NodeBfs,entries=201326592",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_next_hop_reset,node_bfs_detail,0.000000,0.00,no,routing=NodeBfs,294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_host_index,node_bfs_detail,0.000514,0.00,no,"routing=NodeBfs,sources=8192",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_bfs,node_bfs_detail,234.445923,79.60,no,"routing=NodeBfs,sources=8192,node_visits=10493952,edge_scans=335552512,discoveries=77586432,next_hop_records=201326592,next_hop_src_nodes=9472,next_hop_dst_nodes=77586432",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_clear_tables,node_bfs_detail,0.001897,0.00,no,"routing=NodeBfs,nodes_visited=9472,protocols_cleared=9472",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_install_entries,node_bfs_detail,45.279642,15.37,no,"routing=NodeBfs,table_destinations=77586432,entries=201326592",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_count_entries,node_bfs_detail,13.183459,4.48,no,"routing=NodeBfs,entries=201326592",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_node_bfs_set_ecmp_policy,node_bfs_detail,0.001737,0.00,no,routing=NodeBfs,294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,routing_computation,node_bfs_routing,292.913401,99.45,yes,"routing=NodeBfs,entries=201326592",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,traffic_generation,traffic_objects,0.000179,0.00,yes,"pattern=allreduce,flows=8192",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,application_setup,traffic_objects,0.108073,0.04,yes,"hosts=8192,flows=8192,replay=batch",294.526945,294.526921,0.000025,17
fattree_k32_NodeBfs_r1,1,NodeBfs,32,other,unaccounted,0.000025,0.00,yes,,294.526945,294.526921,0.000025,17
